Date,Geet
2024-07-22,First Geet.  Geets are like Tweets but simple lines in text files
2024-07-22,Just using ISO-8601 dates for roughly day resolution.<br/>Any further resolution and permalinking can be obtained from Github.
2024-07-23,Testing auto-deploy while running Makefile ðŸ‘Œ
2024-07-24,<a href='https://www.newyorker.com/culture/infinite-scroll/the-revenge-of-the-home-page'>The revenge of the home page</a>
2024-07-24,Nice to have a page that is simple but can be very custom.
2024-07-25,Added vimrc to header!  Why?  Because I use Vim literally everywhere.
2024-07-25,Adding text extraction to <a href='https://tinyurl.com/ubercut'>this</a> is game changing.
2024-07-25,"Revisiting topics I want to cultivate is as easy as <code>grep  'cultivate, ' Log/*.md</code>. Thanks to plain text."
2024-07-25,ðŸ¥˜ <a href='https://youtu.be/ithXe2krO9A?si=DmOgcKgFp8YUXYHM'>Hilarious convo by philosopher with ChatGPT</a>
2024-07-25,ðŸ«– Huge fan of the <a href='https://apps.apple.com/us/app/deadline-app/id1557048705'>Deadline</a> app in iOS.
2024-07-25,Testing a mobile Geet
2024-07-26,<a href='https://youtu.be/mY4KR9gtKcg?si=q9vKYPYWDu4FV3A2'>Vergecast on SearchGPT</a>
2024-07-27,Testing Geet via Github OAuth workflow
2024-07-27,Testing Geet from home page
2024-07-27,ðŸ’» Testing out from laptop.
2024-07-27,ðŸ“² Testing out from phone
2024-07-27,<a href='https://medium.datadriveninvestor.com/have-we-finally-defeated-hallucinations-e24a7e8a294d'>Interesting read on how overfitting can help prevent LLM hallucinations </a>
2024-07-28,I like this <a href='https://youtu.be/Rspw1FEaa3s?si=2iK0YQqff6yDW59D'>take</a> on Notion. I started using it in the early days 2018. Still a huge fan even though I prefer to keep my personal stuff in clean text.
2024-07-29,<a href='img/kindlerfc.jpg'>Using a Kindle to read a PDF of a plain text RFC</a> is surprisingly elegant.
2024-07-30,Added an example 'personal knowledge encyclopedia' article for OAuth.  Hope to illustrate how useful a 'Wikipedia'-like approach can be for personal note taking.
2024-08-01,Been exploring automated ways to pull from my bank accounts to Ledger format.  <a href='https://tillerhq.com'>Tiller</a> and either an <a href='https://github.com/peterkeen/ledger_tiller_export'>export utility</a> or <a href='https://monarchmoney.com'>Monarch</a> won out over 'ledger-autosync' due to its simplicity and use in spreadsheets as well. (See <a href='https://medium.com/@geetduggal/how-to-create-a-simple-personal-finance-dashboard-in-obsidian-2f238627286a'>my personal finanace dashboard</a> article for more info.)
2024-08-02,Looks like <a href='https://youtu.be/fBxHMuDhvd4?si=kRv0zHclWt9nEwmq'>iPhone on a Mac</a> will be awesome!
2024-08-04,The best things in life are free-ish: public library and park grounds
2024-08-05,"More than any one tool, service, or gadget someone uses, I am interested in how they are used together to create a whole greater than the sum of the parts."
2024-08-06,"Paging again through the classic <a href='http://www.catb.org/~esr/writings/taoup/html/'>The Art of Unix Programming</a> is a real pleasure.  It is thoughtful, self-aware, and a testament to the durability of Unix power tools."
2024-08-07,To read: <a href='https://www.nytimes.com/2021/02/16/style/ambience-videos-asmr-youtube.html'>two</a> <a href='https://www.researchgate.net/publication/220982859_Ambient_video'>reads</a>  on Ambient Video
2024-08-10,Thereâ€™s something oddly satisfying and nostalgic about Netbooks.  Kinda want a â€˜Macbook Miniâ€™ now â€¦
2024-08-13,"In my world, the <a href='https://geetduggal.wordpress.com/2013/12/26/getting-closer-to-a-star-trek-computer/'>Star Trek computer</a> is here thanks to ChatGPT and its ilk."
2024-08-19,Initial version of <a href=https://github.com/geetduggal/geetduggal.github.io/blob/master/ambient-synth-readme.md>ambient streams</a> completed (for the moment).
2024-08-23,"Always a fan of Todoist, even though I don't currently use it.  So glad they got a solid <a href='https://todoist.com/help/articles/experimental-features-AoHSTbqoX?utm_source=todoist&utm_medium=email&utm_campaign=2024_08_experimentalist_newsletter#calendar-today-mobile'>calendar view</a>."
2024-08-23,Lately I've also been a huge fan of just basic Apple Calendar and Mail (using Google accounts underneath)
2024-08-23,<a href='https://portraitart.app'>PortraitArt</a> is quite a thoughtful app.  I'm looking at it more with landscape / nature orientation because bringing in people is still a bit too uncanny valley for me.
2024-08-24,Well put blurb on the <a href='https://x.com/karpathy/status/1827143768459637073?s=46'>current state of assisted coding</a>
2024-08-27,Pre-print of 'Weather Resistant Productivity' posted (see Articles below)!
2024-08-28,Updated vimrc with a more minimal appearance and a simple â€˜Writeâ€™ mode
2024-08-31,"The idea of a devices for eg. playing music, just writing, or just reading browsing seems appealing"
2024-09-03,Heuristic: Is this thing Iâ€™m doing leaving an impression or making an impact?
2024-09-06,Trying out a post series called 'Tech Habits'.  See first post below in articles.
2024-09-13,Excellent <a href='https://youtu.be/TeF6lomaU3I?si=juvMG5wjkXvBD9RQ'>video on the Lord of the Rings philosophy</a>
2024-09-16,Vim tip: Ctrl-w x to swap the current window with the next window.
2024-09-18,"Open the current fileâ€™s directory in netrw: Press :, then type :e %:h"
2024-09-20,Just heard on a podcast that Cal Newport has a similar idea as my 'written workflow' for Weather Resistant Productivity. He calls it a 'core system'.  Weather resistant productivity expands on it a bit and has a lot of other dimensions but was fun to see this independent affirmation of writing down your system having value!
2024-09-21,Second post on 'Tech Habits' live!
2024-09-29,Vim tip: open multiple files in split mode (horizontal) with 'vi -o <files>'
2024-10-05,Third post on 'Tech Habits' live!
2024-10-08,AI-assisted programming is hot: Lex Fridman has an interesting podcast with the Cursor folks and OpenAI just released ChatGPT Canvas
2024-10-14,Fourth post on 'Tech Habits' live!
2024-10-27,ðŸŽƒ <a href='https://www.youtube.com/watch?v=pCRAnf1UCLA'>Halloween at Hogwarts</a>
2024-11-19,"Tools du jour: Rainbow CSV for VS Code, Ultimate Todoist Sync for Obsidian. FTW"
2024-11-19,Linear > JIRA for most project management needs: opinionated and smooth.
2024-12-02,Yes to <a href='https://support.apple.com/guide/mac-help/mac-window-tiling-icons-keyboard-shortcuts-mchl9674d0b0/mac'>native window tiling</a>.
2024-12-02,Fifth installment of Tech Habits out!  Quick one.
2024-12-16,Good use of short term and working memory: memorize your schedule for the day!
2025-01-07,Sixth installment of Tech Habits out!  Another quick one.
2025-01-24,The third and final BuJo post live! I callR it 'Atlas Journaling'
2025-01-27,Seventh installment of Tech Habits out!
2025-02-17,"'monospacedness' (pronounced mono-space-ed-ness) should be a word. Eighth installment of Tech Habits out!"
2025-02-23,ðŸŽ§ Apple Vision Pro is low-key amazing. <a href='https://www.youtube.com/watch?v=kJhUOwzhC1A&pp=ygUcc25henp5IGxhYnMgYXBwbGUgdmlzaW9uIHBybw%3D%3D'>This year-later review</a> does a particularly good job explaining.
2025-02-26,ðŸ’¬ Slack is down.  Geeting is not.
2025-04-04,ðŸ’¿ Awesome: https://voxel51.com/blog/how-to-cluster-images/
2025-04-15,ðŸ’¿ <a href='https://github.com/openai/codex'>Codex</a>
2025-04-25,ðŸ’¿ Raycast and Warp are two apps I am very happy with today!
2025-05-05,Ninth installment of Tech Habits posted!
2025-05-14,Akiflow seems quite awesome.  I may have to give it a go.
2025-05-17,Tenth installment of Tech Habits posted!
2025-06-20,New article on viewing our calendars differently posted!
